,2022-11-23
158,@sharozwa Il@n’y a rien a y voir ou a faire… sauf si on eat descendant de homesteaders… et qu’on peut louer sa parcelle pour extraction d’hydrocarbures. Comme disais la blague “The meek will inherit the earth but they won’t get the mineral rights” https://t.co/fGdI8gP12g
159,"@Eric_Schmitt give me a break. Why don’t you do some real work - talk to the Oil and Gas Companies on why they are keeping gas prices high, when they clearly don’t need to?"
160,"@bookemdeb We already do. We have a surplus. So much, we are sending gas to Europe to help those people survive moving away from Putin's control. 

Plus, we have a lot drilling sites already approved that the oil companies are not using because we don't need them."
161,@TheNavigator73 @mhhooper01 @NoLieWithBTC How about every oil and gas company?  They accounted for roughly 30k of the 8 million loans that were given out. Yet they saw and continue to see record profits.
162,@TpyxaNews Yes german has absolute wish that their own sake: money gas oil .. poor germans sitting ln GOLD HEAP
163,@CPC_HQ So oil and gas profits have nothing to do with these cost just the carbon tax which has a rebate with it.
164,"@RoonieTweet @ThamerAlmutai20 @tim_eke @acm_ow @yaboi_kryp2o @Hakan_matata @brfootball Seems like the biggest cope I’ve ever seen, europe didn’t cause the Arab spring revolt among other wars and conflicts. So that’s incorrect. Secondly Norway is very relevant now with the current gas and oil situation in Europe. Actually one of the most relevant in the world."
165,"@deonemba1 @ewarren I wonder why the oil companies waited for a Democrat President to become greedy? Apparently they weren't greedy under Trump when
 gas was $2 a gallon. Why's that? 
Here's why https://t.co/3EFDVepK5l"
166,@ThatAFluke @BertiefulSouth @cmwinterburn @MilanLdn10 Loool. That’s absolute nonsense. Most of their exports are oil and natural resources. 30% of its GDP is directly based on the oil and gas industry. Tourism and finance sector is growing but they are fundamentally an oil country https://t.co/eqvswwioUi
167,@tcastro72 @abigailmarone @WHCOS @POTUS Record job growth low energy prices peace treaty in the Middle East Russia not at war with Ukraine North Korea not testing ballistic middles Iran not killing women energy independence net exporter of oil and natural gas I could go on!!!!
168,"#CombustiblesLimpios 

The clean hydrogen opportunity for hydrocarbon-rich countries https://t.co/pZAmMaEUPS a través de @McKinsey"
169,Oil prices plummeted to 10-month lows Monday morning after stark warnings from Chinese officials shed light on the nation's increasingly worrisome Covid outbreak. https://t.co/lrK0PcpP11 https://t.co/OxR1zNWPO5
170,Federal Reserve officials at their last meeting saw “very few signs that inflation pressures were abating” before raising their benchmark interest rate by a substantial three-quarters of a point for a fourth straight time. https://t.co/0l80rJFVRP
171,"😡😠
#Dégage_Akhannouch
#مانشريش_ليمامحتاجوش
#لا_لغلاء_الأسعار_في_المغرب
#الشارع_حل
#لاسامير_هي_الحل
#أين_الشعب
#أين_الملك
سقف النفط الروسي ""العالي"" يهوي بخامي برنت و""الأميركي"" https://t.co/kH47tVKfVD"
172,@POTUS so another mass shooting. It is NOT the gun. It is society. You have made things soooo much worse. Let’s start using US oil n gas to bring down prices. Nuclear is green. Let’s go there too
173,"I think the FED will try to tighten to drop commodity prices, but end up causing a housing collapse because prices of oil &amp; gas &amp; lumber &amp; labor are less sensitive to interest rates than Housing (avg mortgage is 30 years.. long duration...)"
174,"@HailViktore @BBCNews Exactly what is happening in the world..in Ukraine..through this one-polar western world..with nazis in Ukraine being used like ISIS in Syria..now Kurds too..all for domination of energy..all for oil &amp; gas in Syria, Donbass, Siberia, Arctic Circle..now rare earths for batteries.. https://t.co/PEl6l4SLDT"
175,"@POTUS Because of your shitty Administration’s economic plan, gas is over $3, food is overpriced, interest rates are at an all time high, oil reserves are low, homelessness is everywhere and you and your scum bag son are slaves to China! Fuck you @POTUS"
176,"@dolaricemos x lo q interpreto, lo presentando ante la CNV lo q hace es Vista Oil &amp; Gas Argentina S.A.U.  le gira a la controlante arafue dentro de lo permitido x el decreto 277/22. Ahí la controlante decidirá q hace con esos USD...si los reparte como div. al ser CEDEAR se cobrarian en USD"
177,@YashArya @0zgurlukcu @AlexEpstein I didn’t call you any names so unsure on the insult you speak of. I’ve watched 2 of the 3 before.  First people need to understand the question of why would oil&amp;gas start and own the renewable sector?  Pretty standard vertical integration strategy and makes perfect sense no?
178,"@EUCouncil Orban wants Russian gas, Russian oil, he is blocking renewables in Hungary. He wants to support Putins war. Stop him! https://t.co/nq7PNkHnsE"
179,"FED tightening primarily effects long duration industries with high multiples like tech and leisure / housing, much less so in traditional boring industries like agriculture, oil &amp; gas, energy, and materials."
180,"@miikrowaveweapo tw big oil and gas corporations //

*video of a car on fire*"
181,Funny how this happens. Oil has way too much sway over elections. How many Democrats lost because of artificially raised gas prices? https://t.co/yretCFXV6b
182,"@PressSec All of these are just the ending of pandemic lockdowns an passing laws after reversing Trump's executive orders, an Gas price were higher because joe slowed domestic oil production with his climate change ex order. An by his mouth he is unable to affect gas prices"
183,"@NancyFaeser One last word:
Why don't your government stop and boycott oil and natural gas imports from those Arab and Muslims countries? President Putin will welcome you in Russia, try to meet him with the same arm band..."
184,"But, but ... US Arms sales are up... 

We can't let a little thing like planetary nuclear winter... get in the way of profits...

Besides Big Oil &amp; Gas... and a pandemic of global corruption... will likely finish us off. https://t.co/PT94F6vE5r"
185,@Lambeau_28 @FINALLEVEL The gas companies love this.  They are fully aware about the US's addiction to oil.  They will line their pockets by simply pushing prices up to feed the addiction.  Just like the tobacco companies have done.
186,"It's a good thing that $PLTR is helping oil and gas companies because we hit an oil top, those companies are going to need to save money. https://t.co/PFNiCIMLex"
187,"@ruth_wishart @BirseJan Maybe when the oil, gas, whisky, salmon, waves, wind, tides and drinking water run out ...."
188,"@wilhelm_2025 @Reuters They have coal, oil and gas reserves, they chose to not to dig or drill for it instead choosing to pander to the green energy nuts instead."
189,"But, but ... US Arms sales are up... 

We can't let a little thing like planetary nuclear winter... get in the way of profits...

Besides Big Oil &amp; Gas... and a pandemic of global corruption... will likely finish us off. https://t.co/mo0vGbVo4I"
190,"@ArchDejan @Gerashchenko_en John McCain said it best ""Russia is a giant gas station masquerading as a Country."" What does Russia make that the world wants? Besides oil and gas. And vodka, well you can get it in Texas Homegrown."
191,"@POTUS Best days for families americans, stop speculation prices drug prescription and gas and oil"
192,"@CarbonCredits My oil &amp; gas producer stocks have done way better then that, my coal stocks up 600%. Go carbon go"
193,@garethlkr @AlexEpstein @JunkScience @ceidotorg The guy is a hack oil and gas shill nothing else....
194,"@petrelnl @CBCNL Correct. First of all it won’t happen till next July, if it happens at all. A lot can change between then and now. Secondly, who knows what the price of gas, diesel, groceries, electricity, heating oil, etc will be then."
195,"@BjCruickshank Signed and donated Bill. England forces its rule on Scotland and steals all that belongs to us. Today, England declared war on Scotland. We need to stop pandering to their imperialism. No more oil, gas &amp; whisky revenue going south. We must stop that first!"
196,@Sands731 Gas and oil are partly the income for the Kurds in Syria
197,"@PeterDClack ""The world is deluded if anyone thinks renewables are cheaper than coal, gas or oil.""
'Externalities' only apply to fossil fuels."
198,@bayraktar_1love Of Russia is a terrorist state then no EU country should finance their terror by buying the oil and gas from them .
199,"@POTUS Under you America has turned to shit 4 dollar gas , 20% increase in grocery prices, home heating oil up 70% ,2.5 million illegals entering our country yea America is doing fine"
200,@HouseGOP Look at all those oil prices that were higher than today's prices. Makes you wonder why gas prices are so high doesn't it? https://t.co/L4B804dsYy
201,"Sign the petition: We cannot afford any new coal, oil, or gas projects. Urge Congress to reject fossil fuel handouts. https://t.co/t73xX4p3vz"
202,¡Oil &amp; Gas Reporter está disponible! https://t.co/XUwLvyaaaA Gracias a @WorldOil #oilandgas #upstream
203,"@darrell_arts @POTUS 9.1% record inflation.

$7 a gallon gas

Heating oil rationing 

Diesel fuel shortages 

Food &amp; baby formula shortages

Our allies are being invaded

$85,000,000,000 in military equipment given to terrorists 

1000’s of Americans stranded in Afghanistan 

Looming nuclear war"
204,"@ViralVixen_ @JPerryFarm @laurenboebert directed federal agencies to eliminate all supports for fossil fuels, imposed new regulations on oil, gas &amp; methane emissions all in the first few days of taking office &amp; because of that we hit an all time high inflation. Biden and his administration are a cancer to this country"
205,"@GOP Lot's of things are more expensive since voter-dumped Donald Trump did a deal with the Saudi's and OPEC to slash oil production, leading to skyrocketing gasoline prices.

Gas is 50% of inflation!

Thanks for nothing, #Trump and #Republicans!
https://t.co/0Wkb9l6JSs"
206,"The insurance industry that has been insuring coal, oil and gas projects for the last 40 years well aware of the results of their emissions. 

Now ordinary people pay the price. 
https://t.co/ObvCM7FwsD"
207,@WHCOS @POTUS Top accomplishment open borders crime drugs high gas prices high home heating oil inflation CRT in schools last but not least the railroad strike Great Job.
208,"@AshraeChapter @AshraeChile @ashraenews @ASHRAE_RAL Hello everyone,
Please visit https://t.co/qnagBsCJtd to check out many useful courses to up skill yourself.
Many potential job opening are also available.
Thank you
#MEP #HVAC #Electrical #Mechanical #EPC #Oil&amp;Gas"
209,$AMLP - https://t.co/zsBJQc9O1n - AMLP: Less-Risky Exposure To Oil And Gas Still Yielding Over 7%
210,$XLE - https://t.co/Am8UEyBmj2 - AMLP: Less-Risky Exposure To Oil And Gas Still Yielding Over 7%
211,"@ViralVixen_ @JPerryFarm @laurenboebert Because I remember Biden re-entering the Paris climate accord, cancelling keystone pipeline, halting leaseing program in anwar, issued a 60 day halt on all new oil &amp; gas leases &amp; drilling permits on federal lands + waters nationwide which makes up 25% of US oil production..."
212,$XOP $XLE $AMLP NEW ARTICLE : AMLP: Less-Risky Exposure To Oil And Gas Still Yielding Over 7% https://t.co/ywmqVZAvEo Get all the latest $XOP related news here : https://t.co/7zAzjxA1QN
213,@SamRamani2 I bet their ass still buys oil and natural gas from them .
214,@PhinsFan1399 @TheInsiderPaper Follow the money https://t.co/PxBj0YHJ2g
215,@HelenRo41328161 @Effiedeans Aye right. And if we were independent the English gov wouldn't be getting the £80bil from the oil and gas industry  over the next 2 years that's helping them out of their black hole.
216,@MichaelKantro Back breaking for some… the few brave enough to load oil/gas in #COM seem to have done quite alright. Happy thanksgiving!
217,"Firstpost, Nov. 23. Recommended.

#Russia Could Shut Down All Europe's Nuclear #Power Plants.
Europe’s energy crisis caused #Shortage of gas, oil, coal.
Another fuel which #Europe depends on Russia for is
#URANIUM, #Nuclear #Fuel: 🥴 😱 🥶 🕯️

https://t.co/EpYcJ5wrqW via @YouTube"
218,$AMLP - AMLP: Less-Risky Exposure To Oil And Gas Still Yielding Over 7%. https://t.co/GJTzzOL52K #economy #stocks #trading
219,"@HRH_HENRAY Ahhh Crypto, oil and Gas only you? It's like it's you that'll fund the party if PDP lose"
220,@SenTedCruz But we are in better shape than when Trump left office he has tried to stop inflation but you and other Republicans have stop everything that would have helped. Big oil have paid you and others to keep gas high causing inflation.
221,@WhiteHouse And we are trillions in debt heading to recession gas still expensive heating oil I mean food inflation. You can polish a shit but it’s still shit
222,"A great initiative and at the right time which will go a long way in successful execution of numerous offshore oil and gas projects that are in the Pipeline and fulfill the ""make in India"" goals. 
@makeinindia 
@ONGC_ 
@Pankaj3006k 
@HardeepSPuri 
@PetroleumMin https://t.co/3xrYAq4LMl"
223,"@SensibleSteve2 @PeterDClack @News_Magpie Nope, nonsensical Steve

I think you'll find there are more people making much more money from oil and gas. The consequences if which are only too well known."
224,It’s rich that right wingers that love oil and gas are deepthroating El*n
225,"@GOP I’m sure all your investigations, impeachments and congressional hearings will make gas, heating oil, milk, rent, and inflation LESS EXPENSIVE. OR NOT"
226,@elNasrino 😂😂😂 not at all I don’t even want to be I am an oil and gas person I earn a decent living for myself . I do marine logistics and equipment lease just incase.
227,"@RepStefanik Inflation? Money managers believe it is:
1) Demand exceeding supply-35%
2) Geopolitical disruption-41%
3) COVID impact/disruptions-24%

Gas prices are determined by WW oil prices &amp; taxes. Norway pumps 3X what it consumes &amp; gas is $10/gal

Rep. Stefanik spreads MAGA GOP lies"
228,"These are increases on already increased costs.  Putting a hurt on people in the north east with winter here.

Dec 1 - sale from US reserves
Dec 4 - OPEC Meeting 
Dec - EU price cap / sanctions Russian oil 

Could be a bumpy week ahead for oil and gas. https://t.co/MsDmRFsKHm"
229,"@haliwell51 @gwendoline_dirk NDP = New Debt Party or New Depression Party. Also anti oil &amp; gas thus anti-prosperity. Where are all the eTrucks eTractors eCombines &amp; eShips that power the daily food chains for billions reliably, safely and inexpensively?"
230,@marytswisc Gas and oil companies are. When the price of gas and diesel go up everything else goes up. Everything!
231,"It's time to let the Ukrainian intelligence and their special operations personnel put some Russian towns and cities in the cold darkness.  
They should even strike Russian oil and gas refineries plants, including LNG terminals. 
Let everyone feel the pain of the  cold weather."
232,"Why aren't you doing ANYTHING ab methane emissions in #Texas ? There've been dozens of complaints &amp; essentially NOTHING has improved in yrs. I think you're paid off by oil &amp; gas co's so you ""don't find"" leaks. Tell your grandchildren that when they can't breathe on this planet."
233,"We buy all types of construction equipment; gas, oil, and #miningequipment
So, if you are thinking of selling your used equipment running or non-running, look no further. Visit https://t.co/mXHMp9i3rt or call 214-773-0207.
#whobuysheavyequipment #webuyusedconstructionequipment https://t.co/tDTXfiDq9S"
234,"https://t.co/dnWd7ZleQk https://t.co/6AYPmrwyf8 
The prospect document of Iran's cooperation with the People's Republic of China in the next twenty years, in the fields of industry, oil and gas, automotive, electronics, petrochemicals, materials, transfer of nuclear... 

🇨🇳🇨🇳🇮🇷🇮🇷 https://t.co/igrtkSzdjr"
235,@GBNEWS Who are they terrorising exactly? They are wasting their time and everyone else's as we're burning more oil and gas year on year. Its futile to even try to stop humanity ruining this planet. Its what we do.
236,"@LeoVaradkar By war in Ukraine they mean the sanctioning of commodity super power Russia, two separate events, a choice, this is the reason for the UK's &amp; EU's spiral, both now import Russian oil &amp; gas via Turkey &amp; Azerbaijan, but will now cost more."
237,Every Single Republican voted For Oil Companies Gas Gouging. They ran on crime and inflation and will spend the next 2 years on actual witch hunts. Suckas https://t.co/3AT77njtNW
238,@lellen61 @RepMalliotakis @POTUS https://t.co/eQv0EBz84M  It's not that hard to look things up.
239,"The monetary turnover of the global fashion industry is comparable to the turnover of the oil and gas industry.

Cheñol not just an inscription on a T-shirt.

His eyes can look like pieces of ice, and yet warm me to the core. Just love.

💖Ashley 💖Eve 💖Zara 💖Emma. https://t.co/wqkJLt2b2v"
240,"""the best way to control methane is never to drill that hole for oil and gas, in the first place"" environmental activist Sharon Wilson with @Earthworks, tells @milesobrien @NewsHour tonight"
241,@AntonVonClouse https://t.co/vRneLQxQul
242,"@stillgray She's lost her job for a reason...she sucked at it!
Now go interview some of the gas and oil people that lost their jobs for no reason...fake climate change."
243,"@SoniaFurstenau @NicholasSimons @AdamPOlsen ➡️ Learn from Alberta and @ABDanielleSmith !! 

➡️ Promote small gov, entrepreneurship, investments AND oil &amp; gas exploration and exports. 

➡️ In socialist &amp; big union loving, big gov BC the money is just not there. 

➡️ Think top line revenue. 

➡️ Spending then is easy !!"
244,@cmcalgary Same way they decreased the global price of oil and gas. But when it increased? That wasn’t them. That was the genius of Jason Kenney and the amazing fiscal management of the UCP.
245,"@iCrushGoals I sell cards on Twitter, but for my side hustle I'm a corrosion and materials specialist in the oil and gas industry."
246,"Coterra’s corporate predecessor, Cabot Oil &amp; Gas Corp., was charged with drilling faulty gas wells that leaked flammable methane into residential water supplies in Dimock, in Susquehanna County, and surrounding communities. https://t.co/mxQE3gPJ9y"
247,https://t.co/rjuqw9w6qm
248,"@g_hibby I knew it wasn't going to go our way, but was still raging when it came out, 1st thing to do now in my book is take them to court so all our resources are paid to Hollyrood, oil gas wind wave the lot, we will pass on a proportionate amount to WM, we've to stay, lets b comfy fkem"
249,"(4 of 4)
Real Estate: -0.12%; 2 of 5 Up
Oil&amp;Gas: -1.69%; 9 of 80 Up (&gt;=4%: $FLNG)"
250,i said it on the first day i will say it agian #ZELENSKY #PUTIN #RUSSIA #OIL #GAS #COAL #POLAND #EUROPE #GOLD #SILVER #UN #UKRAINE ITS TIME FOR #EUROPE AND #AMERICA TO BIT THE BULLET - OH AND THE REST OF THE WORLD INCLUDING #CHINA 0 OR WE CUT THEM OFF - STOP PUTIN NOW ! https://t.co/zh8Pzt97MP
251,"""there's just way too much methane going into our atmosphere"" environmental activist Sharon Wilson tells @MilesOBrien as evidence grows that despite oil &amp; gas industry reports on emissions..""methane is coming up everywhere"" as she inspects oil production site in Texas @NewsHour"
252,"Stocks I watch up at least 4% on &gt;=1.5xAvgVol for the day:
$MANU: 27.3xAV; +25.8% (Leisure)
$QURE: 5.2xAV; +14.6% (Bio/Pharm)
$MRTX: 3xAV; +11.3% (Bio/Pharm)
$SCPH: 2.5xAV; +7.3% (Bio/Pharm)
$FLNG: 2xAV; +6.7% (Oil&amp;Gas)
(1 of 2)"
253,@steven_schnegg @DeathMetalV @WHCOS Are you aware of the billions of dollars Chevron and other oil/gas producers are making….all due to their greed. This isn’t a President Biden issue….it’s the greedy companies.
254,"@Tim_Bousquet How do u figure that out.  You do realize that its not just gas, propane, oil and electricity.  It's on the fertilizer that farmers use to grow their crops so they charge more.  The trucks that deliver goods so they charge more.  Also carbon tax has GST applied to it."
255,"@GOP The only way the GOP could possibly sound any more idiotic is if they blamed the fact you bit your tongue on Obama. 

Everything they say is fiction. Prices are up b/c companies are gouging and artificially inflating. It started with Oil/gas and rolled down hill."
256,Martinez is also one of seven plaintiffs in the Martinez v. Colorado Oil and Gas Conservation Commission case; that case is a state-level lawsuit similar to Juliana v. United States.
257,@sharozwa Il@n’y a rien a y voir ou a faire… sauf si on eat descendant de homesteaders… et qu’on peut louer sa parcelle pour extraction d’hydrocarbures. Comme disais la blague “The meek will inherit the earth but they won’t get the mineral rights” https://t.co/fGdI8gP12g
258,"@Eric_Schmitt give me a break. Why don’t you do some real work - talk to the Oil and Gas Companies on why they are keeping gas prices high, when they clearly don’t need to?"
259,"@bookemdeb We already do. We have a surplus. So much, we are sending gas to Europe to help those people survive moving away from Putin's control. 

Plus, we have a lot drilling sites already approved that the oil companies are not using because we don't need them."
260,@TheNavigator73 @mhhooper01 @NoLieWithBTC How about every oil and gas company?  They accounted for roughly 30k of the 8 million loans that were given out. Yet they saw and continue to see record profits.
261,@TpyxaNews Yes german has absolute wish that their own sake: money gas oil .. poor germans sitting ln GOLD HEAP
262,@CPC_HQ So oil and gas profits have nothing to do with these cost just the carbon tax which has a rebate with it.
263,"@RoonieTweet @ThamerAlmutai20 @tim_eke @acm_ow @yaboi_kryp2o @Hakan_matata @brfootball Seems like the biggest cope I’ve ever seen, europe didn’t cause the Arab spring revolt among other wars and conflicts. So that’s incorrect. Secondly Norway is very relevant now with the current gas and oil situation in Europe. Actually one of the most relevant in the world."
264,"@deonemba1 @ewarren I wonder why the oil companies waited for a Democrat President to become greedy? Apparently they weren't greedy under Trump when
 gas was $2 a gallon. Why's that? 
Here's why https://t.co/3EFDVepK5l"
265,@ThatAFluke @BertiefulSouth @cmwinterburn @MilanLdn10 Loool. That’s absolute nonsense. Most of their exports are oil and natural resources. 30% of its GDP is directly based on the oil and gas industry. Tourism and finance sector is growing but they are fundamentally an oil country https://t.co/eqvswwioUi
266,@tcastro72 @abigailmarone @WHCOS @POTUS Record job growth low energy prices peace treaty in the Middle East Russia not at war with Ukraine North Korea not testing ballistic middles Iran not killing women energy independence net exporter of oil and natural gas I could go on!!!!
267,"#CombustiblesLimpios 

The clean hydrogen opportunity for hydrocarbon-rich countries https://t.co/pZAmMaEUPS a través de @McKinsey"
268,Oil prices plummeted to 10-month lows Monday morning after stark warnings from Chinese officials shed light on the nation's increasingly worrisome Covid outbreak. https://t.co/lrK0PcpP11 https://t.co/OxR1zNWPO5
269,Federal Reserve officials at their last meeting saw “very few signs that inflation pressures were abating” before raising their benchmark interest rate by a substantial three-quarters of a point for a fourth straight time. https://t.co/0l80rJFVRP
270,"😡😠
#Dégage_Akhannouch
#مانشريش_ليمامحتاجوش
#لا_لغلاء_الأسعار_في_المغرب
#الشارع_حل
#لاسامير_هي_الحل
#أين_الشعب
#أين_الملك
سقف النفط الروسي ""العالي"" يهوي بخامي برنت و""الأميركي"" https://t.co/kH47tVKfVD"
271,@POTUS so another mass shooting. It is NOT the gun. It is society. You have made things soooo much worse. Let’s start using US oil n gas to bring down prices. Nuclear is green. Let’s go there too
272,"I think the FED will try to tighten to drop commodity prices, but end up causing a housing collapse because prices of oil &amp; gas &amp; lumber &amp; labor are less sensitive to interest rates than Housing (avg mortgage is 30 years.. long duration...)"
273,"@HailViktore @BBCNews Exactly what is happening in the world..in Ukraine..through this one-polar western world..with nazis in Ukraine being used like ISIS in Syria..now Kurds too..all for domination of energy..all for oil &amp; gas in Syria, Donbass, Siberia, Arctic Circle..now rare earths for batteries.. https://t.co/PEl6l4SLDT"
274,"@POTUS Because of your shitty Administration’s economic plan, gas is over $3, food is overpriced, interest rates are at an all time high, oil reserves are low, homelessness is everywhere and you and your scum bag son are slaves to China! Fuck you @POTUS"
275,"@dolaricemos x lo q interpreto, lo presentando ante la CNV lo q hace es Vista Oil &amp; Gas Argentina S.A.U.  le gira a la controlante arafue dentro de lo permitido x el decreto 277/22. Ahí la controlante decidirá q hace con esos USD...si los reparte como div. al ser CEDEAR se cobrarian en USD"
276,@YashArya @0zgurlukcu @AlexEpstein I didn’t call you any names so unsure on the insult you speak of. I’ve watched 2 of the 3 before.  First people need to understand the question of why would oil&amp;gas start and own the renewable sector?  Pretty standard vertical integration strategy and makes perfect sense no?
277,"@EUCouncil Orban wants Russian gas, Russian oil, he is blocking renewables in Hungary. He wants to support Putins war. Stop him! https://t.co/nq7PNkHnsE"
278,"FED tightening primarily effects long duration industries with high multiples like tech and leisure / housing, much less so in traditional boring industries like agriculture, oil &amp; gas, energy, and materials."
279,"@miikrowaveweapo tw big oil and gas corporations //

*video of a car on fire*"
280,Funny how this happens. Oil has way too much sway over elections. How many Democrats lost because of artificially raised gas prices? https://t.co/yretCFXV6b
281,"@PressSec All of these are just the ending of pandemic lockdowns an passing laws after reversing Trump's executive orders, an Gas price were higher because joe slowed domestic oil production with his climate change ex order. An by his mouth he is unable to affect gas prices"
282,"@NancyFaeser One last word:
Why don't your government stop and boycott oil and natural gas imports from those Arab and Muslims countries? President Putin will welcome you in Russia, try to meet him with the same arm band..."
283,"But, but ... US Arms sales are up... 

We can't let a little thing like planetary nuclear winter... get in the way of profits...

Besides Big Oil &amp; Gas... and a pandemic of global corruption... will likely finish us off. https://t.co/PT94F6vE5r"
284,@Lambeau_28 @FINALLEVEL The gas companies love this.  They are fully aware about the US's addiction to oil.  They will line their pockets by simply pushing prices up to feed the addiction.  Just like the tobacco companies have done.
285,"It's a good thing that $PLTR is helping oil and gas companies because we hit an oil top, those companies are going to need to save money. https://t.co/PFNiCIMLex"
286,"@ruth_wishart @BirseJan Maybe when the oil, gas, whisky, salmon, waves, wind, tides and drinking water run out ...."
287,"@wilhelm_2025 @Reuters They have coal, oil and gas reserves, they chose to not to dig or drill for it instead choosing to pander to the green energy nuts instead."
288,"But, but ... US Arms sales are up... 

We can't let a little thing like planetary nuclear winter... get in the way of profits...

Besides Big Oil &amp; Gas... and a pandemic of global corruption... will likely finish us off. https://t.co/mo0vGbVo4I"
289,"@ArchDejan @Gerashchenko_en John McCain said it best ""Russia is a giant gas station masquerading as a Country."" What does Russia make that the world wants? Besides oil and gas. And vodka, well you can get it in Texas Homegrown."
290,"@POTUS Best days for families americans, stop speculation prices drug prescription and gas and oil"
291,"@CarbonCredits My oil &amp; gas producer stocks have done way better then that, my coal stocks up 600%. Go carbon go"
292,@garethlkr @AlexEpstein @JunkScience @ceidotorg The guy is a hack oil and gas shill nothing else....
293,"@petrelnl @CBCNL Correct. First of all it won’t happen till next July, if it happens at all. A lot can change between then and now. Secondly, who knows what the price of gas, diesel, groceries, electricity, heating oil, etc will be then."
294,"@BjCruickshank Signed and donated Bill. England forces its rule on Scotland and steals all that belongs to us. Today, England declared war on Scotland. We need to stop pandering to their imperialism. No more oil, gas &amp; whisky revenue going south. We must stop that first!"
295,@Sands731 Gas and oil are partly the income for the Kurds in Syria
296,"@PeterDClack ""The world is deluded if anyone thinks renewables are cheaper than coal, gas or oil.""
'Externalities' only apply to fossil fuels."
297,@bayraktar_1love Of Russia is a terrorist state then no EU country should finance their terror by buying the oil and gas from them .
298,"@POTUS Under you America has turned to shit 4 dollar gas , 20% increase in grocery prices, home heating oil up 70% ,2.5 million illegals entering our country yea America is doing fine"
299,@HouseGOP Look at all those oil prices that were higher than today's prices. Makes you wonder why gas prices are so high doesn't it? https://t.co/L4B804dsYy
300,"Sign the petition: We cannot afford any new coal, oil, or gas projects. Urge Congress to reject fossil fuel handouts. https://t.co/t73xX4p3vz"
301,¡Oil &amp; Gas Reporter está disponible! https://t.co/XUwLvyaaaA Gracias a @WorldOil #oilandgas #upstream
302,"@darrell_arts @POTUS 9.1% record inflation.

$7 a gallon gas

Heating oil rationing 

Diesel fuel shortages 

Food &amp; baby formula shortages

Our allies are being invaded

$85,000,000,000 in military equipment given to terrorists 

1000’s of Americans stranded in Afghanistan 

Looming nuclear war"
303,"@ViralVixen_ @JPerryFarm @laurenboebert directed federal agencies to eliminate all supports for fossil fuels, imposed new regulations on oil, gas &amp; methane emissions all in the first few days of taking office &amp; because of that we hit an all time high inflation. Biden and his administration are a cancer to this country"
304,"@GOP Lot's of things are more expensive since voter-dumped Donald Trump did a deal with the Saudi's and OPEC to slash oil production, leading to skyrocketing gasoline prices.

Gas is 50% of inflation!

Thanks for nothing, #Trump and #Republicans!
https://t.co/0Wkb9l6JSs"
305,"The insurance industry that has been insuring coal, oil and gas projects for the last 40 years well aware of the results of their emissions. 

Now ordinary people pay the price. 
https://t.co/ObvCM7FwsD"
306,@WHCOS @POTUS Top accomplishment open borders crime drugs high gas prices high home heating oil inflation CRT in schools last but not least the railroad strike Great Job.
307,"@AshraeChapter @AshraeChile @ashraenews @ASHRAE_RAL Hello everyone,
Please visit https://t.co/qnagBsCJtd to check out many useful courses to up skill yourself.
Many potential job opening are also available.
Thank you
#MEP #HVAC #Electrical #Mechanical #EPC #Oil&amp;Gas"
308,$AMLP - https://t.co/zsBJQc9O1n - AMLP: Less-Risky Exposure To Oil And Gas Still Yielding Over 7%
309,$XLE - https://t.co/Am8UEyBmj2 - AMLP: Less-Risky Exposure To Oil And Gas Still Yielding Over 7%
310,"@ViralVixen_ @JPerryFarm @laurenboebert Because I remember Biden re-entering the Paris climate accord, cancelling keystone pipeline, halting leaseing program in anwar, issued a 60 day halt on all new oil &amp; gas leases &amp; drilling permits on federal lands + waters nationwide which makes up 25% of US oil production..."
311,$XOP $XLE $AMLP NEW ARTICLE : AMLP: Less-Risky Exposure To Oil And Gas Still Yielding Over 7% https://t.co/ywmqVZAvEo Get all the latest $XOP related news here : https://t.co/7zAzjxA1QN
312,@SamRamani2 I bet their ass still buys oil and natural gas from them .
313,@PhinsFan1399 @TheInsiderPaper Follow the money https://t.co/PxBj0YHJ2g
314,@HelenRo41328161 @Effiedeans Aye right. And if we were independent the English gov wouldn't be getting the £80bil from the oil and gas industry  over the next 2 years that's helping them out of their black hole.
315,@MichaelKantro Back breaking for some… the few brave enough to load oil/gas in #COM seem to have done quite alright. Happy thanksgiving!
316,"Firstpost, Nov. 23. Recommended.

#Russia Could Shut Down All Europe's Nuclear #Power Plants.
Europe’s energy crisis caused #Shortage of gas, oil, coal.
Another fuel which #Europe depends on Russia for is
#URANIUM, #Nuclear #Fuel: 🥴 😱 🥶 🕯️

https://t.co/EpYcJ5wrqW via @YouTube"
317,$AMLP - AMLP: Less-Risky Exposure To Oil And Gas Still Yielding Over 7%. https://t.co/GJTzzOL52K #economy #stocks #trading
318,"@HRH_HENRAY Ahhh Crypto, oil and Gas only you? It's like it's you that'll fund the party if PDP lose"
319,@SenTedCruz But we are in better shape than when Trump left office he has tried to stop inflation but you and other Republicans have stop everything that would have helped. Big oil have paid you and others to keep gas high causing inflation.
320,@WhiteHouse And we are trillions in debt heading to recession gas still expensive heating oil I mean food inflation. You can polish a shit but it’s still shit
