,2022-12-05
708,"@CalltoActivism @POTUS Raise of 3$ releasing strategic emergency oil supply to artificially lower gas price is terrible policy, it will ruin America’s economy over the next year. Plus if we actually need emergency oil we won’t have any"
709,"Greenpeace USA activists took action today against the oil companies who are destroying our planet and ripping us off at the gas pump.

Americans have paid the highest gas prices ever this year because of obscene price gouging from Big Oil—who are making record profits. https://t.co/itAxkH2MQh"
710,SPIE Oil &amp; Gas Services Nigeria Recruits for Onshore Team Leader. Peterobi. Neymar. Portugal. Brazil. Vinicius. #FIFAWorldCup Even Buhari. Copa America. Lunc. Tinubu. God Abeg. Wike. Arise TV. Bitcoin. Cryptocurrency. Richalison https://t.co/c2HkrKpHPN via @opportunityplg
711,"New oil, new gas and new air in my car. I don’t wanna hear it for a while now"
712,@bobbypearce @AmonGwareth @joncoopertweets Next thing y’all will be saying he didn’t disclose payments from Chinese Government Russian oligarchs and Ukrainian gas and oil oligarchs. I’m sorry I got that wrong that was the Biden family.
713,"You know about beautiful yellow fall leaves and sunflowers, but did you know yellow marks and flags are used as temporary markings to point out areas of gas, oil, steam, petroleum, or gaseous materials according to the APWA Color Code? Learn more at https://t.co/i6W90fdwnp https://t.co/cspGceH8On"
714,"Neil Young, MD &amp; CEO of @ElixirEnergyASX joins us to discuss doing business and raising capital in the current market sentiments towards the oil and gas industry - Watch Now!

Watch here:

https://t.co/TKQpmDNRKh

Listen here:

https://t.co/BLx96VYEdC...

$EXR https://t.co/t3MDKGiPcD"
715,"Bauchi and Gombe States have reportedly drawn battle lines over the owhttps:

//nigeriancurrent.com/2022/12/05/bauchi-gombe-clash-over-new-oil-wells/nership of the Kolmani Oil and Gas field as both states are laying claims to the oil wells.

."
716,Los Angeles bans oil and gas drilling within city limits https://t.co/sRrWj0KVkr
717,"ABC News: Could Russian oil price cap impact US gas prices?

https://t.co/QfpHU86SFW 

#NewsInVids #NewsInVidsCom #WorldNewsInVids #NewsVideos #NewsInVideos"
718,Izu-Ikei Anioma commends Buhari for nominating Lauretta Onochie as NDDC chairman https://t.co/AgpsDEk6kT
719,@frlab_ @Western_Trad This legit looks like some sort of gas/oil refinery.
720,"Will Putin Adhere To G7 Price Cap? EU To Face Tough Year Filling Oil, Gas Reserves https://t.co/lPuYSBhZKk"
721,"""It appears that if #Germany wishes to reach its medium-term target for energy offsets from Russian oil and gas, the government will need to bring its nuclear plants back to full capacity."" writes @RobertHankinsOF.

Read here:
https://t.co/VOWDTbyHA4"
722,"@DennisMadderra @Bridget_P0pe @RonFilipkowski I'm not angry at all. I'm doing better now than I was under trump. I was laid off after 15 yrs under trump. Why complain about gas, oil &amp; grocery stores ripping us off? That's where the real ""inflation"" comes from. Add shrinkflation to that &amp; those corporations are getting rich. https://t.co/silWaBCGiF"
723,@POTUS Before your bitch ass took office and destroyed American oil we were paying $1.70 for gas and $2.99 for diesel. So you're full of shit and a traitor to the people of this nation.
724,Income from Russian oil and gas exports to oct 2022 up 38% compared to 2021. #EU sanctions working then.
725,This is the kind of bullshit being peddled by climate alarmist and the Met Office is culpable in fudging their data the more coal and oil and gas the better so the elderly don't freeze this Christmas because of the price of net zero and the upper class twats that advocate it https://t.co/Jkh5yFntvq
726,"@GavinNewsom You're the one ""gaslighting"". CA gas prices are higher than the nation because CA imposes greater tax and regulatory burdens on oil &amp; gas companies than any other state. You refused to suspend gas taxes during the pandemic when gas hit $7/gallon. That's who's doing the gouging."
727,@GavinNewsom https://t.co/WHcGNamLmf
728,"@POTUS oh i’m feeling the impacts of your reign alright.  Home heating oil, gas , groceries , etc. my 403 is down the shitter. That’s not a win !"
729,"@GavinNewsom You charge people out the wazoo in taxes and regulations for gas, pass additional fines to oil corporations who will in turn pass the costs on to us.

This is Jedi-level Ponzi scheming."
730,"Slowly but surely, Biden keeps fighting to lower gas and oil prices. https://t.co/4bAI5JTpKm"
731,"This was me with Enron Oil &amp; Gas. They gave me my first job and I figured I owed them loyalty. MANNNNN TAKE IT FROM ME, FUCK THAT JOB! https://t.co/4DMfJUO5gD"
732,@GavinNewsom Oil companies dont want to invest in refineries in your state because you hate oil and are banning gas cars. You’re a clown.
733,"Europe 2023,

The sanctions and the price cap on Russian oil and gas worked great, we have finally managed to go green and save the planet 🌎 
Ukraine is completely destroyed, but that’s not our problem anymore 😌 https://t.co/HKbT8YFzVs"
734,"@WhiteHouse How's our federal oil/gas reserve - you know, the one President Trump filled to the brim -  doing Brandon? https://t.co/rTrufkvDUe"
735,"@TimRunsHisMouth @POTUS Tim. I hate to say this, but...
Gas prices are somewhat irrelevant that's why Biden is highlighting them.
Diesel &amp; Heating oil are really the important story that people are missing. People checking in from Maine seeing $5.80 per gallon.
https://t.co/tNx5z0RgWC"
736,"climate change refers to long-term changes and effects in weather patterns and shifts in temperatures. Humans have been the main perpetrator of climate change, mostly due to fossil fuels such as burning oil, gas, and coal which creates heat-trapping gases. (United Nations)"
737,Could Russian oil price cap impact US gas prices? https://t.co/MGSF7Y19xz https://t.co/aKZjK1l4hn
738,"We want to buy 

Dimethyl Formamide 
Dimethylformamide 
DMF 
Cas 68-12-2 
#cfr karachi #Paksitan

 #Dimethylformamide #dmf #dimethyl #formamide #chemicals #tdi #vinylacetate #sodium vandium #cooper #lithium #coal #coalchemical #energy #venus #oil #gas #lng #tradetracks  #fahim"
739,"@POTUS You are the GasLighter-In-Chief... You just look desperate trying to fool the American ppl again and again to think Putin caused your gas hikes.... Wrong, you did when your reversed all of Trump's regulation cuts and you reduced domestic oil production by a massive amount."
740,"@RachelNotley Isn't it ironic that last time you were in the legislature it killed a massive amount of jobs, and put a huge chill on investment especially when it pertains to oil &amp; gas, and you weren't even introducing an act of any kind"
741,@SenWarren I’m pretty sure this all started with the war on oil and gas.
742,@alex2yc @WhiteHouse I’ll send you my fuel oil and gas bill.
743,"Not good news with the anti fossil fuel policies hindering the supply of natural gas, heating oil etc. Energy reality will bite hard. https://t.co/nwsTDKPdfs"
744,"@RobinHoodlum @ABDanielleSmith Also, she is the reason our oil and gas sector went for shit. And our truckers couldn't find work. As well as a whole lot of other people. She is the reason for Alberta's poor economy now."
745,"BREAKING: We just announced America’s first price gouging penalty on big oil.

We will not be gaslit by oil companies that are keeping gas prices high while they rake in record profits.

Time for them to answer for ripping you off."
746,"@TheAustinBall @TimRunsHisMouth @POTUS Or we could provide the people here with high paying jobs to process the nat gas and oil in a cleaner way, that doesn't prop up evil dictators. Outsourcing money to wicked regimes who beat down on their people, and ending up with more global pollution isn't a better result."
747,https://t.co/7YbUFbEJzP Gas price expert reacts to Russian oil price cap | ABCNL https://t.co/3wcCO6LBDF https://t.co/tId2RKqRTj
748,https://t.co/7YbUFbEJzP Could Russian oil price cap impact US gas prices? https://t.co/lhPyNqDnYz https://t.co/tId2RKqRTj
749,The last time local prices have been near their current levels was June 2021. https://t.co/cKuTqARCCy
750,@TheAustinBall @TimRunsHisMouth @POTUS He's fucking up by standing in the way and kneecapping our domestic oil production. We make cleaner gas and get it cheaper by not requiring a fossil-fuel guzzling carrier to bring it here. He's also fucking up by repeatedly trying to step over 1A and 2A protections of citizens.
751,"Prices at the pump have plummeted over the past month—but a dramatic move from the U.S. and allies meant to slash Russian oil revenue and cripple its war effort could send gas prices rising again, some energy analysts told @ABC News. https://t.co/JzRDo8SmQt"
752,@POTUS Ok so you are stating the balance of the increase of $1.20 per gallon is based off your own policies against oil and gas. How are diesel prices doing?
753,"@nichpic @TimRunsHisMouth How much did MSNBC cover Joe Bidens quid pro quo with Saudi Arabia ahead of mid terms. Pump more oil for one month to lower gas prices, or we pull defense aid."
754,@3prongdong WHY DIDNT YOU STOP BYBA GAS STATION TO BUY OIL https://t.co/tDWeo0b3Ir
755,"Los Angeles Bans New Oil Drilling, Will Phase Out Current Wells https://t.co/65Zn3aIjlP"
756,i was gonna be lazy today BUT i did go get an oil change and gas AND back to workouts after our brief break …i feel sleepy but productive lol
757,"Gas prices in California about to go up more, already 30% higher than the rest of country. Not great for everyone that can't afford a Tesla.
https://t.co/EYYhatq61v"
758,"@NGP1978 @Chefbradpoker @SkyNews His members are being asked to accept reduced working conditions for less pay.
Meanwhile, the oil and gas companies are taking a 100% increase for delivering the same service. See the problem?"
759,"@SenatorHagerty Wouldn't ""energy independence"" include not depending on gas and oil?"
760,@washingtonpost Coal increases as oil increases? I read our electricity is 38% powered by natural gas.
761,"@AdamRadman @WarrenDavidson 
In Trump’s civil war Constitution Terminators™️ take the side of the Oil &amp; Gas Cartel

https://t.co/J0oYmmn3mB"
762,"@thejeffstein @WhiteHouse You need reasons? Day one shutting down the xl pipeline and declaring war on the energy industry, stopping the wall and inviting a invasion , doubling the price of fuel oil to stay warm and the gas you need to go to work, trying to destroy the first and second amendments……"
763,@POTUS Quit tweeting about gas prices when you hate the gas/oil industry.
764,"@POTUS So let me see if i understand....
Gas goes up - its due to Putin, OPEC, oil companies, gas station owners and everyone else. 
Gas goes down - Its all Biden.

I don't think so."
765,@elonmusk why do you simp for the Gas ⛽️ &amp; Oil Party @GOP? https://t.co/rgLk5Lf8t5 https://t.co/iv2s3Wsjaz
766,@elonmusk why do you simp for the Gas  ⛽️ &amp; Oil Party @GOP? https://t.co/PtVAxpg1qP https://t.co/RoXZUHNOTE
767,@EU_Commission @G7 Oil and gas sales are increasing around the world for Russia....the EU is looking very desperate.🇷🇺 https://t.co/kiOjbApS7b
768,@SwampGhost22 @AllenFi15099838 @FakeRyanCDS_209 @unusual_whales Hahahahahaha. Seriously cucking for russia. Why don't you look up how our oil companies did sweetie. Usa is more than a gas station that russia is.
769,@POTUS Gas price shouldn't be the priority.. energy independence and climate action with renewables and transition off fossils should be. You're just another short-sighted politician funded by oil &amp; gas.
770,"@MGSchmelzer @xr_cambridge Yet here we are, racing to open up new oil/gas/coal deposits and burning more hydrocarbons than ever. We have a snowflake's chance in hell."
771,"This sovereign wealth fund myth is a joke. British oil and gas has been used to meet British demand, leading to cleaner and cheaper energy for UK. The ScotNats seem to think it would be better to export it all and burn the money to keep warm! https://t.co/M5x9dKZQiW"
772,"@TimRunsHisMouth @POTUS How has he screwed up?

If we can lower the amount of oil and gas we get from Russia we may do better.

We have to get oil and gas from Venezuela as it is a strategic hub."
773,"@SenatorHagerty Makes very little economic sense. All green energy is domestically produced and the more of it that is available, the less demand for fossil fuel, which should make prices for those still using gas, oil and coal to trend down."
774,"@Vendzilla @Dotherighthingy @Kayty48 @DouglasCowling @DineshDSouza https://t.co/erQcWsanBp

Huh weird considering the military spending was the same, he really outspent those soviets. I've yet to mention the opposite party but you're the only one to mention it, yeah Biden sucks but gas?? Where do we get most of our crude oil? Wooow East europe."
775,"@FreddieBailey96 British gas owns North Sea Oil, not British, they just kept the name thinking people would believe its British gas."
776,"@JoJoFromJerz Top American Oil and Gas Expert ⛽️ Cracking new ground 👍 

https://t.co/dXLi0GOpqM"
777,"As oil and gas companies make record profits off of the same forces driving climate chaos, @tessakhan asks us to consider the true cost of our reliance on #fossilfuels—outlining why the transition to safer, cleaner forms of energy has never been more urgent. @TEDTalks #TEDTalks https://t.co/SvYzVVN3eJ"
778,"Laredo Petroleum Claims Mantle as Permian’s First Producer of Responsibly Sourced Oil, Gas
https://t.co/S6kJGIZHc4"
779,"“We don't see digital and engineering as two different things, digital is just a way of how we operate,” explains Naveen Pandrangi, Chief Information Officer at Phillips66. https://t.co/xtnwFT0ylP via @oilandgasiq #digitaltransformationstrategy"
780,"Laredo Petroleum Claims Mantle as Permian’s First Producer of Responsibly Sourced Oil, Gas https://t.co/1ghwhrmJrK"
781,@SenWarren BULL$hit Pocahontas.  It's solely because the guy in the WH stopped oil production and the high gas prices are driving up the costs.  Stop lying.  It's nauseating.
782,"@BouhhaMohamed @adidasfootball @Sonny7 @BellinghamJude @Pedri @Benzema @AchrafHakimi @SergeGnabry Russian oil and Gas
Ukrainian Blood
Boycott Germany;
Vladimir Putin's Enabler"
783,"@demsmight @POTUS are u dumb? he didn't do shit. if the economy is bad, he says ""it's the war."" if gas is down, ""it's the oil ceos"". if jobs are bad, ""we're still recovering for covid"". grow up"
784,Los Angeles City Council approves ban on oil and gas drilling within city limits https://t.co/yVWotrVEtC
785,"@adidasfootball @Sonny7 @BellinghamJude @Pedri @Benzema @AchrafHakimi @SergeGnabry Russian oil and Gas
Ukrainian Blood
Boycott Germany;
Vladimir Putin's Enabler"
786,"Ludicrous. It’s California’s own policies that are causing gas prices to skyrocket to nearly $5 per gallon.

Hey energy companies: come to Oklahoma. We won’t penalize you for producing energy, including oil and natural gas, for the American people.
https://t.co/ApbnXYQ0i2"
787,"Los Angeles Bans New Oil Drilling, Will Phase Out Current Wells https://t.co/8dc5WHJF0M"
788,"@mariannekelly66 @HuhneChris @Shell @bp_UK @BritishGas There are no subsidies for 'BigOil' in UK - oil &amp; gas production is currently subject to record high 75% profit tax.  Do you mean consumer/consumption subsidies?  If so, the indirect benefits of higher demand are going to renewable and nuclear generators as much as gas producers."
789,"@RNCResearch You should be ashamed as a parent!  Seriously, ashamed. I pity you! I truly do!  I guarantee she lives in a house heated/cooled by oil/gas! Guarantee! https://t.co/2T744NwuoY"
790,"Seen a lot of people asking about full service gas stations.  Here's my neighborhood full service.  I walk his dog for my tip for him, for cleaning windows, checking oil and pumping gas. https://t.co/PZRVEyEmxn"
791,"@POTUS thus driving the gas prices up. YES it’s CHEAP to produce oil, but NOT to import it. REMEMBER. ESPECIALLY when we used to rely on RUSSIA for oil. well, now we can’t import oil from Russia, blame that one on Putin, but if we were energy independent, we need not worry about that…"
792,"@notjaso79646447 @OnlyFol35201188 NG.

I own oil and gas small concern and like to stay somewhat hedged, but at these levels I wan more upside exposure so have neutralised a large portion of them."
793,"Gas prices focus of special California legislative session https://t.co/dGKnYTJVV1    
$XOM 
  
$CVX 
  
$OIL.............."
794,"15 Ft 6AN ID 10AN OD Universal Braided Stainless Steel CPE Oil Fuel Gas Line Hose Fit C0B4PEP

https://t.co/FEic3yF7AN https://t.co/rytzmxVTDs"
795,Gas prices focus of special California legislative session https://t.co/dGKnYTJVV1   $XOM $CVX $OIL
796,Oil and gas sector can no longer feed the growing population of Nigeria – Olusegun Obasanjo. https://t.co/txDKf6hMlC via @ADVERT AFRICA
797,"The Oil and Gas Industry is under attack by those who don't understand the unique benefit of the products we provide. There is no other energy source as dense, reliable, portable, cost effective and abundant. Before O&amp;G the vast majority of humans lived short brutal lives. https://t.co/iifjJJ3gRy"
798,"@POTUS if i can’t afford gas, i can’t go to work. if i can’t afford to go to work, i can’t pay my bills. THATS THE REALITY. now why do i blame Biden? under his admin last year, he took away permits for oil production to stop. producing OUR own oil is CHEAPER than IMPORT COSTS…"
799,"Wyoming Governor Sues Biden Administration over Oil and Gas Contract Cancellations
https://t.co/zCA9Uvqyjm"
800,"NEW: Blending aspects of the oil &amp; gas industry w/ #Geothermal energy production could increase efficiency. Download the latest episode of WGA’s Out West #Podcast to hear experts w/ @TransitionalEn1, @bakerhughesco &amp; @UofNorthDakota discuss the technology https://t.co/UWmMQqF7TU https://t.co/t1zr5wovKt"
801,"Libya's GNU lifts force majeure for oil and gas explorations, calls on international oil companies that have contracts with NOC to resume their work in country
https://t.co/yuC3E2jrqa"
802,"@POTUS Let me know when we're energy independent again, like we were when Trump was president.  When we didn't fund terrorists around the world by buying oil from them. When gas hit $2.00 in California. And less in the rest of the country."
803,"#卡塔尔世界杯  #足球  #世界杯 #世界杯投注  https://t.co/YN0AUH03w3
Line type gas oil.
😅🥰🤨😋😆"
804,"@POTUS Inflation has not come down! Gas prices are down because you have drained the Strategic Oil Reserves, illegal border crossings are at an unprecedented number along with Fentanyl trafficking and Americans dying from ODs! Crime is out of control. Interest rates are breaking people"
805,@POTUS I miss exporting gas and oil out of the u.s. when we had more then enough under Trump. We didn't have to beg other countries that hate our guts.
806,"@POTUS Have you food shopped lately, filled your gas tank, how about the electric bill, or fuel oil to heat your home? My confidence level is way down."
807,@RussellParsley @USATODAY @PropaneCouncil Propane comes from the same wells here that natural gas and oil come from.
808,"@Nichola26205450 @dbongino Why the hate, and why do I need to be destroyed. I want you to live the best life you can.  I ask for the same.  Biden’s policies are the reason for the inflation and high gas prices.  I don’t like that we are buying oil from Venezuela to bring the price down."
809,@JowiiZazaa Jowi Zaza Makanaki Oil &amp; Gas Guru.... My AZA Boss 2061304828 UBA for shopping... More Blessings
810,"@MollyJongFast Top American Oil and Gas Expert ⛽️ Cracking new ground 👍 

https://t.co/dXLi0GOpqM"
811,"He meant to write, How Corporations Stole Christmas!  By The Republicans

The Railroad - THIS year a $20 billion profit...and they can't even give their people paid sick days.  The gas/oil companies are seeing 3 - 4X profit. Grocery store chains are seeing 2X more profit. https://t.co/HonlJt0uR1"
812,"Thinking about the Cook Inlet Belugas. It’s such a travesty how this was an acceptable loss for the dems. There’s no way to replace this unique population of belugas once they’re gone. 

https://t.co/8CggQcwcfH"
813,"@fsorbara @JustinTrudeau @GMcanada @FP_Champagne @ISED_CA @cvma_ca @brightdrop @UniforTheUnion @SeamusORegan @bkingston Canadian Gas and Oil is in high demand and Canada is sitting on one of the biggest oil deposits in the world, with its capital it would be a huge help relieving stress on Canada's Economy, pump much needed capital back into the country and would be a huge help to allies in Europe"
814,"@farzyness Even crazier, I foresee $5.50 national average gas in the coming year or so as a ""get it while we can"" move by gas stations/ oil companies. Sucks cause I have a Tacoma to dump when my Cybertruck finally happens."
815,"Os acordos de petróleo da Noruega ajudaram a fortalecer Putin. Deve aprender com seus erros.

A cooperação da Noruega com as principais empresas de petróleo e gás da Rússia permitiu a guerra de Putin..

https://t.co/ULg3oNRpkZ"
816,"@AndreREllis1 @MollyJongFast In what flippin way? Like affordable gas &amp; oil? A strong presence on the world stage? A non woke military? Affordable food costs? A well run economy? A border policy that protects Americans FIRST? Trump stands for all this, while Biden stands against all this! Where are standing?"
817,"@POTUS You’re devaluing the American dollar by printing money. Oil per barrel is based on the dollar.  You also stopped us from being a greater exporter of oil and gas, increasing the cost of oil and gas.  Less supply more demand. You’re responsible! Stop lying to the American people."
818,LOL at the twitter community fact check --- clearly trying to downplay the largest earthquake in Alberta Canadas recorded History.. the M5.8 (M5.9) next to the oil and gas pumping operation https://t.co/0asjJc7qt5 https://t.co/RwRG6xoC3W
819,"@chunkindorley @lencombs @WhiteHouse When he took office, he refused to sign federal leases. When he realized that gas $ was out of control, he asked OPEC to increase production. They refused. He finally signed the leases 12+ months after he took office but doubled royalties first. Oil majors went offshore."
820,This week's Legislative Special Session called by @CAgovernor brings #CALeg members together to discuss the need for regulation of gas and oil pricing at the pump here in California. It’s time to put #peopleoverprofits! https://t.co/uZpGJNN6Tf
821,"Los Angeles Bans New Oil Drilling, Will Phase Out Current Wells
@EcoWatch @goodnewsfocus @Focusonthegood6 #ClimateAction #ClimateActionNow #ClimateCrisis #ClimateJustice #GoGreen #GreenNewDeal #fossilfuel #FossilFuels 
https://t.co/HgnTC73LtV"
822,@CalltoActivism @POTUS Republicans had us making our gas so the need to lower prices didn't exist. Democrats shut down our Made in USA oil production and caused the hike in price! So to brag about lowering the price they raised isn't an accomplishment!
823,@mxdondevivo the above community fact check is clearly trying to downplay the largest earthquake in Alberta Canadas recorded History.. the M5.8 (M5.9) next to the oil and gas pumping operation https://t.co/0asjJbPheX https://t.co/xidctuWE0Z
824,"Texas continues to lead U.S. in energy production powered by oil and natural gas
https://t.co/3fy2vJxk11"
825,@POTUS What does Putin have to do with gas prices in the US? We only were getting 5% of our oil from Russia to begin with..:
826,"Way, way too late. That train has left the station. germany is left behind. No gas, no oil, no profitable manufacturing. It's your own fault. https://t.co/bvnwGSGVzN"
827,"@OprahDaily Better video, One of America's Top Oil and Gas Experts ⛽️ Cracking new ground 👍 

https://t.co/dXLi0GxmoM"
828,"Next year Albertans will pay 55% more carbon tax on gas than Quebec.

Since Kenney killed the lower carbon tax, Albertans now get screwed with more tax &amp; higher gas prices set by oil companies!

No fair deals for you!

#cdnpoli #abpoli https://t.co/C6OoqpP35b"
829,"@MeidasTouch Need to ask one of America's Top Oil and Gas Experts ⛽️ for advice.

https://t.co/dXLi0GOpqM"
830,"ESG policies have affected investment in petrochem/oil and gas sector in La. but also helped spur solar panel growth. Inside John Schroder's 'crusade' against ESG: National groups, Fox News and former Trump pick https://t.co/dz3WYTvjvT via @theadvocatebr"
831,"The national average has fallen to 15.8 cents per gallon in the last week.
https://t.co/5C9OpFPsgH"
832,"@AjumniA @AhzekPastaman @bayraktar_1love I live in Russia and we use it like all types of liquids for cars. Oil, gas, coolant and even for windshield 😁"
833,"@POTUS Yes, but how much is left in our emergency reserves that you drained? It will go up after the midterms! How much pollution will come from dirty gas and oil from Venezuela and when it is shipped over the OCEANS to the USA?"
834,"@7Veritas4 Interesting, one of America's Top Oil and Gas Experts ⛽️ Cracking new ground 👍 

https://t.co/dXLi0GxmoM"
835,"Hello, London! We are exhibiting at #AMI2022. Discover the latest developments in #PolymericMaterials for the oil and gas industry on Dec. 7-8, 2022 @ the #HiltonLondonTowerBridgeHotel. Register today.  #AMI #VESTAKEEP #VESTAKEEPPEEK #VESTAMID #PA12
https://t.co/eDaYhhxwf1 https://t.co/5tADVI5K5G"
836,"Last week, South LA &amp; Wilmington communities saw a massive win nearly a decade in the making as LA banned new oil drilling &amp; phases-out existing oil wells!
 
This win ""is because of and for communities,"" Tianna Shaw-Wakeman, @BW4WLA
https://t.co/ldyirNjRaP"
837,@WhiteHouse Eggs 10.49  2.5 dozen milk 4.29 oil change over 100.00 who gives a shit gas is 3.49 a gallon!!  FJB
838,"Why oil and gas prices started to soar when Biden was elected. The market knew Biden would try to halt as much US energy production as he could, making us more dependent on our enemies for oil. https://t.co/9lDDxK5llS"
839,@POTUS Fact check......you don't drill in this country for our own natural resources that's why gas is high. Also you have depleted our strategic oil reserves so it's a temporary fix. The Putin excuses is old and tired and a flat out like!
840,"@duty2warn Top American Oil and Gas Expert ⛽️ Cracking new ground 👍 

https://t.co/dXLi0GOpqM"
841,"(WTF🤬🖕)
White House to ask oil and gas execs to support Ukraine energy infrastructure
https://t.co/wmWVfHBibm"
842,"@joncoopertweets @POTUS It would be, if that was true. He had done nothing to address gas prices, except release from the emergency reserve and beg dictators for more oil. What planet are you on?"
843,"@Caliwentcrazy @babbi_r @ACTBrigitte So what you are admitting is that inflation is not caused by Biden or Democrats but rather corporate greed. Right?

Corporations are making record profits. Oil &amp; gas companies are making profits 400% higher than in 2019. That means they aren't passing on inflation but padding it."
844,"@CNBC Related to $$$, one of America's Top Oil and Gas Experts ⛽️ Cracking new ground 👍 

https://t.co/dXLi0GOpqM"
845,"@Keir_Starmer @GordonBrown @TracyBrabin @AnasSarwar @SarahBoyack Windfall tax going well??. Last week Total pulled out of North Sea, this week Serica.  No tax, no jobs, no gas ,no oil. Shell and BP next, well done you wankers"
846,@MichaelJayWalsh disagree heat pumps with COP of 3 with current electric rate of $.30 per kwh cost about twice much to operate as gas at $1.10 per therm...they are equal to $4.00 #2 oil. Below 30 degrees COPs drop off and difference is more noticable..
847,@Felix98974819 @war_on_muppets @witte_sergei Remove Russia's fossil fuel reserves and both Russia and Belarus's GDP per capita would be much lower. Ukraine doesn't have the advantage of practically free oil and natural gas.
848,"@EMarianne44 @DashDobrofsky I know right look at what Brandon’s done, gas prices, oil reserves gone, military can’t recruit, he’s lost on stage, has to be guided by foreign leaders, really sad, but calling him a pos is a bit much, he’s a sick senile old man being used by the dems..thanks for your support."
849,"@sde729 @PeterZeihan Well the market still decides in the good ol US of A. There are a lot more rigs that could be opened but the oil price wouldn't make it profitable. 

And there just isn't enough capacity.

I just hates that our government stops pumping gas in the midst of a crisis.. but oh well.."
850,"@nytimes Maybe not as interesting but one of America's Top Oil and Gas Experts ⛽️ Cracking new ground👌 

https://t.co/dXLi0GxmoM"
851,I generally support oil and natural gas pipelines. More Republican/Conservative than Democrat/Liberal on this “issue.” https://t.co/L1MvooZMC8
852,@RayMacLean1 @MarieAnnUK Lol if true were is all that sweet Russia gas and oil at ?!
853,"Wall Street to Russia: ""Look, you could end this war in a heartbeat if you would just let us run your oil, gas, and mining businesses. You sit back, relax, we take a cut, and all is forgiven.""

#UkraineRussianWar 
#RussiaUkraineWar 

https://t.co/m2vqm1fEE3"
854,"@BBCWorld One of America's Top Oil and Gas Experts, Cracking new ground 👍 

https://t.co/dXLi0GOpqM"
855,"@MarieAnnUK Funded by Russia, well were the hell is the russian gas and oil ?!?"
856,@noku_carol @Luther_Hove We had lots of diamonds which could be mined using hoes and sticks.. plenty of the gems.. what did it benefit the country except that individuals you clap hands for made themselves billionaires? What is gonna change with the discovery of gas and oil? Kumwe kupusa so??
857,"@gtconway3d Excellent, One of America's Top Oil and Gas Experts ⛽️ Cracking new ground 👍 

https://t.co/dXLi0GxmoM"
858,"año.
El embargo afecta, también, a los derivados. De ellos el más importante es el Gas Oil, cuyo mercado era Europa.
Pero volvamos al tope del precio del crudo:
Para China y la India e tope es, si el mercado internacional  no EU no G7 no es capaz de absorber la producción rusa,"
859,"@RT_com Their “price cap” will definitely work from their perceptions.  But they won’t be able to apply to it because they won’t have Russian oil to buy. Ruble will be tied to Gold, all minerals, grains, oil, gas, metals, fertilizers. Welcome to 2023!"
860,"@PhinsFan1399 @RNCResearch I’m Canadian 🇨🇦
Trudeau is doing the same destructive policies as Biden.
He is coming after our legal gun ownership. Hunters! 
They are taking away free speech, destroying oil &amp; gas. Both traitors of country to the WEF. We must fight together. 
🇨🇦🫶🏼🇺🇸 #TrudeauForTreason"
861,"@TrueNeutral000 @wolsned It is burning oil and burning natural gas, what consumes oxygen out of the air and emits CO2 and watervapour.
It is impossible to gain oxygen with that.
The returned oxygen from extra photosynthesis due to greening is always less than what was initially lost."
862,Turtle Bayou Nature Preserve is a 511-acre plant &amp; wildlife sanctuary that Texans can enjoy. That area east of Houston had abandoned oil wells which RRC’s Brownfields Response Program cleaned up &amp; redeveloped. See more on how we can help local communities https://t.co/EUAlhfpCKZ https://t.co/cZwxKLCLIB
863,"The historic decision that comes after years of complaints by residents about how pollution from nearby drilling has caused them health issues.
https://t.co/1TolStwIET"
864,"The national average for a gallon of gas is down 40 cents in the last month and is expected to continue falling through the holiday season.

https://t.co/8LRkBnEL1m"
865,"About time!

#LosAngeles Bans New #Oil Drilling, Will Phase Out Current Wells

https://t.co/zF5h6wlRMy

Via @EcoWatch"
866,"@Oma68749196 @Nanayaw10 @taadelodun Drilling oil in Tema? U re just exposing your ignorance. 
1st, the Oil Region is Western nd Takoradi is the capital. 2nd, Our initial oil lift was between 80,000 b/day in 2011 nd rose to 100,000
There’s a gas component that came with the oil dis. Check Ghana Gas for more info."
867,"@JRubinBlogger One of America's Top Oil and Gas Experts ⛽️ Cracking new ground 👍 

https://t.co/dXLi0GOpqM"
868,"@avcemilcicek @nal12353936 People have to have diesel, and gas. It all goes to the same place and is sold from that place. They can flood market with oil when they want to hurt their competitors
With winter time coming on in most of the world they cut the oil to leave people in the cold"
869,"@RNCResearch MAGA RAGE &amp; FEAR FARMING:

IRS!

They’re coming for your guns!

Caravans of Immigrants!

Drugs!

Masks!

Vaccines!

Inflation!

Recession!

Electric vehicles!

CRT!

Oil, gas, energy!

Student loans!

His laptop!

Her emails!

Voter Fraud!

Crime!

FBI/DOJ!

WOKE! https://t.co/qD96GGbYyo"
870,"In the real world, as opposed to the fantasy one which too many Canadian politicians inhabit, oil and natural gas are going to be major sources of Canadian and global energy for decades to https://t.co/Gi4cqPQ6qE @Swiftie01 @canpoli @onpoli https://t.co/oh1COmgt70"
871,"@FinancialTimes Excellent, Ukraine has been great to the Bidens, here is One of America's Top Oil and Gas Experts ⛽️ Cracking new ground 👌 

https://t.co/dXLi0GOpqM"
