,2022-11-23,2022-11-24,2022-11-25,2022-11-26,2022-11-27,2022-11-28
130,"@haliwell51 @gwendoline_dirk NDP = New Debt Party or New Depression Party. Also anti oil &amp; gas thus anti-prosperity. Where are all the eTrucks eTractors eCombines &amp; eShips that power the daily food chains for billions reliably, safely and inexpensively?","The Great Undoing: Biden’s squeeze on oil and gas leasing drains conservation fund

https://t.co/xdoOlOE5RF https://t.co/Qr3V70XIwX","@ProfFeynman How about 

""Darcy's law"" ?

The principal that governs the flow rate of water, oil &amp; gas in porous media (subsurface)","#Surgutneftegaz is engaged in prospecting, exploration and production of #hydrocarbons in three #oil and #gas provinces of #Russia - West Siberian, East Siberian and Timano-Pechora provinces. To know more: https://t.co/4Us9IV3wjd",@JoshShapiroPA Maybe you could look at the price of gas in the area where banana splits were invented. We are paying $3.99 a gal. when oil is at $76.19 a barrel. Should be around $3.19 at the most.,"https://t.co/JquRrCatpD The Govt has held a consultation on banning the replacement of oil and LPG boilers from 2026, a full 9 years before gas boilers. It has yet to give a response. Here’s mine : 🖕🏻"
131,@marytswisc Gas and oil companies are. When the price of gas and diesel go up everything else goes up. Everything!,@CSRushfan @JoeBiden We can start with refusing renewal of drilling permits and canceling the oil pipeline leading to high gas prices which raises the cost of everything.,"@MJWMayday @AZgeopolitics We are and will be perfectly fine. Funny how these alarmists tend to be from Russia and non-European countries in general, but Europe itself knows it's gonna be ok. 
Except for oil and gas, we're not exactly dependent on Russia. And not even that can cripple us.","@PierrePoilievre The carbon tax adds .11 to a litre of gas, so perhaps you can talk to your friends, the oil and gas companies and ask them to lower the price of a barrel of oil so that the carbon tax is lower?  That way, my little grandson will have a world to grow up in too.","Because we have a few refineries down and haven't built any new refineries in over 40 years. It's not oil, it's the distillate (gas) from the refineries that we need. We need to update them and build new ones. We also export gas to other countries and import it. https://t.co/nJVoTvXqN6","@cristalholidayx @Bakruu US is the pathetic country for killing children in Suria, Iran, Iraq, Yemen, Palestine, Afghanistan, Vietnam. And then you suck on their balls for cheap gas and oil. This is your reality. The whole nation is full of suck ups and hate mongers"
132,"It's time to let the Ukrainian intelligence and their special operations personnel put some Russian towns and cities in the cold darkness.  
They should even strike Russian oil and gas refineries plants, including LNG terminals. 
Let everyone feel the pain of the  cold weather.","@EliseStefanik Tell me, what did Biden do to cause inflation?   The supply chain?  Covid   Poultry?  Bird Flu   Gas prices?  Greedy oil companies.    What have Repubicans proposed?  Nothing!","@Bagheri_Kani What about the cold winter? What is the price of oil? Didn't you say the price of gas? Take a look in the mirror, are you ashamed?","And Bidens’ campaign against American oil &amp; natural gas.
#BidenEnergyCrisis https://t.co/Kbgc5DykuU","@GavinNewsom @SunshineRay59 @GOP Dont forget......
Get rid of social security
Do away with Medicare
Refuse to hold corporations accountable like oil and gas, groceries, Big Pharma",@POTUS @SharylAttkisson What do you suppose led to the increasing need? LIHEP funding will be increased to support those in need face the higher costs of energy this winter? Do you you think it odd to point to increased taxpayer spending to cover your policy mistakes: From Vax mandate to oil/gas policy?
133,"Why aren't you doing ANYTHING ab methane emissions in #Texas ? There've been dozens of complaints &amp; essentially NOTHING has improved in yrs. I think you're paid off by oil &amp; gas co's so you ""don't find"" leaks. Tell your grandchildren that when they can't breathe on this planet.",@MeghanEMurphy @HeyTammyBruce Learn to code!   Isn’t that what y’all say about oil and gas workers forced outta work,"Trouble ahead for EU. Oil price caps, gas shortages, sky high LNG prices... https://t.co/qM4JAX00Qq via @YouTube","@Reuters So we're importing dirty crude oil from Venezuela? So long Chevron. Last tank of gas I'll be buying from you!  And who will be overseeing the billions now being released for ""humanitarian"" spending?  This thing stinks to high heaven.","@GavinNewsom @GOP The Democrats view of ""America"":
Lockdowns
$6.00 Gas
Foreign oil dependence 
Crime via open borders 
Tax The People and give freebies to illegals
Never tell the truth","@RoKhanna ✅ Blind eye to blatant crypto scams preying on main street despite ample evidence of federal regulatory jurisdiction 
✅ Discourage domestic oil and gas production leading to rampant inflation 
✅ Zero fiscal discipline and racking up $31 trillion federal debt"
134,"We buy all types of construction equipment; gas, oil, and #miningequipment
So, if you are thinking of selling your used equipment running or non-running, look no further. Visit https://t.co/mXHMp9i3rt or call 214-773-0207.
#whobuysheavyequipment #webuyusedconstructionequipment https://t.co/tDTXfiDq9S","@carrie_hampel Wind and solar is unreliable

Doesn't cover the needs we have 

Gas oil still has a part to play I'm afraid 

Oh 

We need fracking with better controls 

And climate change is a scam the UK counts for barely 1% of global emissions

south pole it's getting colder not warmer",@Aidan_Regan Oil and gas too!,"@kramisarch The Jews have oil, gas, diamonds, metals including gold, vast agricultural lands, #theworldcup ..oh wait... they don't. That's someone else!! https://t.co/xJdF5Jk1ch","Ghana plans to buy oil with #Gold instead of US dollars #finance #economics #Dollar #silver #NEWS 
https://t.co/14mYPPHyrQ.","@CieGrant Congratulations My Man.. I'm trying to finish my last 3 in The Oil and Gas Industry as Well...

Follow Your 🙏🏿.. allow it Lead You..
Whatever Path..
You'll Be Great 💪🏿‼✌🏿"
135,"https://t.co/dnWd7ZleQk https://t.co/6AYPmrwyf8 
The prospect document of Iran's cooperation with the People's Republic of China in the next twenty years, in the fields of industry, oil and gas, automotive, electronics, petrochemicals, materials, transfer of nuclear... 

🇨🇳🇨🇳🇮🇷🇮🇷 https://t.co/igrtkSzdjr",@tedcruz Cherry picking dates and %s doesn’t change anything. It’s just whining. We paid ridiculous gas prices for 2 years because of Biden’s war on energy. Home heating oil will be scarce and unaffordable for many in PA and north.,"It uses plenty of oil and gas 

Scotland has oil and gas in abundance but two,weird Green MP’s are preventing it from being extracted &amp; used 

It would provide cheap domestic energy for the next 100 years https://t.co/yzJiJw76Cg","@johncusack Now do Boeing, Lockheed, and the Oil and Gas industry.","@MistressRedWasp @fwe1991 @InaneDragon @shellyt561 @RGanley @RAGINxCAJUN @WebGuyTV @Krensharpaw @warmachineofdio @Pepevineyard @sammk1964 @DarkPouncer @8BrianVogel4 @SKillr666 @dirk_fasshauer @Shopdogg2 @CarignanAbreu @RonFancy @rosegar17673310 @Sasquatch4eva @warmachineofgod @VinceGottalotta @OriginalGoalie @JulieMu36442360 @tRick_the_only @Bernvazquez1 @LokeyMJB @MrLarsonsFoot @JamesCa70626795 @MikeBetts43 @ThereseOSulliv2 @baronofbarons @hrt6017 @ziggystardogs @2_drac @TaiDecker @mgarcia523 @Aimhighffw @jkoff609 @tallnblonde1 @itisjustmebabe @DigiMalice @Merry_Hippie @dogsdontliket @ChubbsNShooter @TrumpLOST5 @Deborah9731827 @Vanessa76_1 @MJB24681 @HuntersArtWork Yeah, so utilities &amp; related industries are looking at 2060 at least, not 2030 for continent wide load capacity to safely &amp; efficiently recharge that many EVs without rolling blackouts &amp; power rationing. That’s 4 decades of need for the abundant oil &amp; gas that we fortunate have.","@GavinNewsom Congratulations, CA, $5.04/gallon, is second highest in the USA behind only Hawaii.  Why?  Texas is cheapest, $2.89.  Oil company greed only in California, not Texas?  https://t.co/hLmBAe2f51"
136,@GBNEWS Who are they terrorising exactly? They are wasting their time and everyone else's as we're burning more oil and gas year on year. Its futile to even try to stop humanity ruining this planet. Its what we do.,"“They want America to produce less oil and gas while at the same time they want our enemies to produce more. They want Iran to produce more oil.” @tedcruz 
https://t.co/r7hySqYdw9",@justartsndstuff @madampiipi Theres oil and nat gas too,@JustStop_Oil When all oil and gas stops what will you use to replace the derivatives used in the manufacturing of life saving medicine's or don't you care about that?,@max_gagliardi I wonder if Blackrock is changing their tune on fossil fuels now that they helped trick all of our stupid politicians to buy into the green new scam and oil and gas roofed?  They said in Davos 2020 they were done investing in ff 😂,"@nickhedley No. It's new oil &amp; gas. In 2022.
https://t.co/OPW5ZtK2bZ"
137,"@LeoVaradkar By war in Ukraine they mean the sanctioning of commodity super power Russia, two separate events, a choice, this is the reason for the UK's &amp; EU's spiral, both now import Russian oil &amp; gas via Turkey &amp; Azerbaijan, but will now cost more.",How about boycotting our oil and gas first! :) https://t.co/Uf3MS28Tsx,oil or gas  #Wordcup #Wordcup2022 bet365 #亚博体育 #开云 https://t.co/A36ZSvEeYV,@ZubyMusic Trump even warned Europe not to rely on Russian oil and gas. And they all laughed at him.,"‘I Will Block Leakages, Liberate Oil And Gas Sector’ –Atiku Vows https://t.co/DFdQiZH5QT","JPMorgan Still Sees #Oil Above $100 in Next Few Years

https://t.co/1Iz89TpISW

#Bloomberg #Gas #Mining #OilPrices https://t.co/qNZj3Ny7o5"
138,Every Single Republican voted For Oil Companies Gas Gouging. They ran on crime and inflation and will spend the next 2 years on actual witch hunts. Suckas https://t.co/3AT77njtNW,"@M0kujin @Joe22319618 @darrengrimes_ real culprits are the Oil Giants, no ifs or buts. It is them.

And again this thinking nobody knows gas is used for energy production, we know, most people know. So you can stop pushing it.

Coal/Gas has been used for decades for energy production. It is more efficient now though","@WhiteHouse IRA spending tax bill in Jan 2023:
-$65 Billion Natural Gas Tax
-$12 Billion Crude Oil Tax
-$1.2 Billion Coal Tax
-$124 Billion Stock Tax: IRAs, 401ks, Pension funds
FYI: Please invest in silver an gold Before Jan 1st  Democrats want tot to destroy your retirement and savings.","@zeitgeistsurfer @Mining_Atoms 2/ That means we will continue to drill oil. When we drill it, we distill it. We get lubricants, heavy fuel oil, diesel, jet fuel and gasoline. My question is if we don’t have gas cars what do we do with the gasoline?  Before cars, we wasted kerosine and dumped the gas in creeks","@robreiner At some point, you might come out of your Hollywood bubble and understand in the real world,Trump is old news,unless, of course, he becomes POTUS again, and people are interested in Bideninflation, price of gas/heating oil, crime, border, fentanyl, and Hunter/Big Guy corruption.","@RNCResearch Oil And Gas Executives Say It's Not Joe Biden Holding Back Domestic Production

""Biden’s critics have ignored the fact that Wall Street investors are pressuring U.S. drillers to limit production amid record prices.""https://t.co/yX3kNmWQUx"
139,@lellen61 @RepMalliotakis @POTUS https://t.co/eQv0EBz84M  It's not that hard to look things up.,"@clogsdon52 @DanKEberhart Of course, because Joe Biden put their competitors, independent ma &amp;  pa oil &amp; gas companies out of business. That said, oil &amp; gas companies are still making a fraction of what big tech is raking in because oil &amp; gas producers have a lot more overhead including good paying jobs.","When you think about the Carbon Tax being on everything from food, gas, oil, even insurance it probably costs us even more than $6K per year.  I worry about our families in Newfoundland this winter.  It will be brutal for them. https://t.co/Ullsu3OrzM","@PLeonardNYDN Maybe bcuz they practice and play on too of a swamp and garbage dump, and all those damn gas &amp; oil refineries. Personally I think they should move the practice facility somewheres else to limit the exposure. Gotta think the Jets don’t practice there at all.","@TheMarco @BlackKnight10k He is raiding the strategic national reserves, weakening the country.
Not a real, long term, solution of producing more oil and gas, that would strengthen the country.","A plan by Interior’s Bureau of Land Mgt would tighten limits on gas flaring on federal land &amp; require energy companies to cut down on methane leaks that add to climate change. Biden proposed a wide-ranging plan for methane at a climate conference in Egypt.
https://t.co/8MXK9iLtCG"
140,"The monetary turnover of the global fashion industry is comparable to the turnover of the oil and gas industry.

Cheñol not just an inscription on a T-shirt.

His eyes can look like pieces of ice, and yet warm me to the core. Just love.

💖Ashley 💖Eve 💖Zara 💖Emma. https://t.co/wqkJLt2b2v","@CarolineLucas I would like to recommend an excellent book which will provide endless information for the effects of oil/gas/fracking. It’s called “Blowout” by Rachel Maddow, an American investigative journalist and MSNBC presenter. It’s an eye opener.","@LaMaga75350486 @alfleuco El 90% de Vicente López es obra de Japonés García
Pésima gestión teniendo el partido más rico de la Argentina
Le dieron una Ferrari y le puso gas oil","I gonna be a Democrat so I don’t have to worry about high gas prices, high food prices, high inflation, millions of unknown people strolling across the border, increasing fentanyl deaths, relying on other places for oil, gang shootings in the big cities! Aw yes, peace of mind!","@realTuckFrumper Are there no 'reasonable' GA GOP candidates? 

Sabotage Marji's fix for gas was to side w/Putin's Genocide. Luckily Biden stuck w/Ukraine. Now there's an #Oil_Price_Cap in the works.

Walker shows Reps. Hypocrisy ""...vehemently..."" ""...sometimes..."" NO on abortion. #concussed","We want president Trump made in usa: fossil fuel ,gas, oil, !the people president. https://t.co/R9huV4VxY3"
141,"""the best way to control methane is never to drill that hole for oil and gas, in the first place"" environmental activist Sharon Wilson with @Earthworks, tells @milesobrien @NewsHour tonight","We buy all types of construction equipment; gas, oil, and #miningequipment
So, if you are thinking of selling your used equipment running or non-running, look no further. Visit https://t.co/gQghbjbwOq or call 214-773-0207.
#whobuysheavyequipment #webuyusedconstructionequipment https://t.co/evS5bO8069","@BaronSnow3 @GeorgeTakei @SenatorWarnock Yes, I do live in western Canada. And I work in oil and gas, too. Oh the horror!",@charlesadler Norway's fiscal health isn't all oil &amp; gas. They have hefty VAT taxes on top of other creative taxes on things like vehicles for example.,@POTUS I also have been tweeting everyth9ong you did to undermine th e oil aND GAS INDUSTRY YOU AND i AND NOW EVERYONE ON TWITTER KNOWS IT WASNT JUST KEYSTONE WAS IT.,"@GovNedLamont “Helping lower energy prices”, what planet are you from? Heating oil prices have tripled, gas is $2 higher and electricity will be up 50% Jan 1. What in Gods name are you talking about?"
142,@AntonVonClouse https://t.co/vRneLQxQul,"@avrain27 @apmassaro3 It was the cause. Crimea and the Donbass have most of the fertile land and oil/gas deposit of Ukraine. Kherson have the water access for Crimea.
It's hard to know if you are ignorant or dishonest . You wouldn't defend the US if they did that, so why do you defend Russia ?","@Metaledge7 @DaveDlugach @FreedomFirst1st @Belinda71555585 Article dated 1/21/21. Nice try. 

https://t.co/iYXozeDGtr","@SenWarren -
...and the NATO Supremacists said, ""Let us make the SLAVes (Ukrainians and Russians, of a single root) fight each other like gladiators, so that we may control, once again, the price of gas and oil."" ⛽ ⛽ ⛽ 
-
https://t.co/VhHWgjw58A","Scaffolding Supervisor.
 diploma in Mechanical with a Minimum of 02 Years Experience in Scaffolding Works for Power Plant/refinery / Petrochemical / Oil &amp; Gas Projects. cisrs Qualified as a Scaffolding Supervisor with Levels of knowledge and Experience  https://t.co/3xmyjzW4LJ","@JoshOSU84 @Josh_Pate82 @Mojo306 @hbomax Bro, that’s a nice setup you have there. That’s what you get with that EVIL oil and gas money 😉. https://t.co/ED2HvsBQM4"
143,"@stillgray She's lost her job for a reason...she sucked at it!
Now go interview some of the gas and oil people that lost their jobs for no reason...fake climate change.","@built_divine @ChinasaNworu Oil power more than just vehicles bro, you're not thinking outside the box 🤮🤮🤮

Oil is used for Jet fuel and aviation gasoline, gas, food productions like fertilizers, furnitures(Polyurethane foam), plastic, Clothing materials(Polyester, rayon, nylon) etc....",I've gotten loads of questions asking me which major/type of engineering could work in Oil and Gas? This question has been on repeat in DM😅 https://t.co/nUoMeqAO3W,@DrDinD @Khavren @bmeijen1 @stealthygeek @Tesla The credits are kind of like the tax breaks to oil and gas companies.,"@JohnStossel To the old folks, do you remember when (60s-70s) Nuclear Energy was less expensive than Oil, Coal and Gas?
Well, now we have Solar and Wind as the contenders against the 3+1 bad energy providers. Oil, Coal, Gas and Nuclear. 
What goes around comes oround.","Alaska oil and gas lease sale is on because corrupt Minion of the fossil fuel industry Joe Manchin insisted on it

https://t.co/R1C5PSya4f"
144,"@SoniaFurstenau @NicholasSimons @AdamPOlsen ➡️ Learn from Alberta and @ABDanielleSmith !! 

➡️ Promote small gov, entrepreneurship, investments AND oil &amp; gas exploration and exports. 

➡️ In socialist &amp; big union loving, big gov BC the money is just not there. 

➡️ Think top line revenue. 

➡️ Spending then is easy !!","Trouble ahead for EU. Oil price caps, gas shortages, sky high LNG prices... https://t.co/njD3NkEero via @YouTube","@Belinda71555585 Yes, when they shut down the Keystone pipeline and failed on oil and gas lease negotiations, they knew they would damage the economy. No one in the Biden admin ever read Milton Friedman.","The GOP forgot about gas prices after the election. The only remaining parry interested on governing did not. 

https://t.co/YVbp4Z63hp","Gate Valve, DN20 Stainless Steel Gate Valve BSPP G3/4 Rotary Sluice Valve for Water Oil Gas, Silver LFSWMQO

https://t.co/O4EteimvUH https://t.co/WOanRGJekh","@EvolvingNerd @DonaldJTrumpJr Afghanistan, oil bans -📈gas prices, inflation, international policy, low IQ and incomprehensible speech is much worse than we have ever had."
145,@cmcalgary Same way they decreased the global price of oil and gas. But when it increased? That wasn’t them. That was the genius of Jason Kenney and the amazing fiscal management of the UCP.,"@kinsellawarren Agree that national security = economic security, also stable &amp; predictable government regulations - the Liberal's erratic policies on the Canadian Oil &amp; Gas industry has = economic insecurity",@PaulFox13 Global warming saves on heating oil and gas.,"@DanCrenshawTX Big Oil has chosen not to drill on their unused leases. 

In addition to millions of acres of idle leases that could be drilled, the oil and gas industry has nearly 7,600 approved, but unused, drilling permits on hand right here in the USA.","@matthew_fordham @TimConway12 @Justbob111 @Rob_Kimbell ""Are you disputing Brexit being a neg economically?""

Yes but if you supply dispassionate stats &amp; info proving that QE, furlough, shutdowns, Ukraine war &amp; subsequent shortages of gas, phosphates, neon, sunflower oil &amp; microchips are due to Brexit then I'm open to persuasion.",Major oil companies won't participate in California gas price spike hearing  https://t.co/nzNbU0WuAn
146,"@iCrushGoals I sell cards on Twitter, but for my side hustle I'm a corrosion and materials specialist in the oil and gas industry.","@violin4all @HeidiMiner7 African economies can still use the investment and revenue from oil and gas exploration, it is an economic reality. It can change their economies and therefore people lives  over night.","We are grateful for your service to make our nation safer and more secure. He is committed to strengthening our oil and gas economic. Highly appreciated sir Mal.@MKKyari
#EnergyForToday #EnergyForTomorrow","Working to #CutMethane pollution from the oil &amp; gas industry is one of the most effective tools we have to #ActOnClimate. That's why @EPA's new proposal to #CutMethane is so important. It's time to finalize the strongest safeguards possible. #NoTimeToWaste
https://t.co/mozuStQk0J",@kilijanek @visegrad24 Is this a cope? Russia has such vast reserves of gas and oil it can sell them close to margin and still make billions. Uniforms/Infantry equipment? You mock Russia while they rain down missies on Ukraine day after day. Ukraine has no power will America be sending candles soon? 🕯️,@johnredwood It has to be combinations of energy production away from gas and oil. You are being disengenuous by just singling out wind power as the only means of generation.
147,"Coterra’s corporate predecessor, Cabot Oil &amp; Gas Corp., was charged with drilling faulty gas wells that leaked flammable methane into residential water supplies in Dimock, in Susquehanna County, and surrounding communities. https://t.co/mxQE3gPJ9y",USA has oil and gas along the Libyan border.,"@jaro_roth @12poppyaCheri @MeanMrMustache Gas Prices ⬇️

11/23/22 - The per-barrel price of U.S.-produced oil 📌plummeted from $87.90 a barrel on 11/14 to below $80 in midday trading on the NY Mercantile Exchange.

📌Gasoline inventories in the U.S. ⬆️ increased by 2.2M barrels last wk 
https://t.co/VFOMosLL94",@WeAreCanProud Let's nationalize our oil and gas industry comrades.,Oil and gas sector provides so many benefits to Saskatchewan https://t.co/qC9Poofm3w,"Invite RUSSIA President @KremlinRussia_E and UKRAINE President @ZelenskyyUa to @UN NY &amp; SOLVE UKRAINE Fiasco 

 @OPECSecretariat &amp; @G7 to Create PERFECT Finance &amp; FOREX &amp; GOLD &amp; GAS &amp; OIL MARKETS 

Enter No WAR PACTS Among ALL @UN 194 Members and CLOSE @NATO https://t.co/x22mjRwQWW"
148,https://t.co/rjuqw9w6qm,"@GretaThunberg @auroramalet there were 636 oil and gas lobbyists at Cop27! imagine the difference, had they been swapped for your 636!? ... wishing you luck! in love and rage 🥰","@TheNewsAgents @GlobalPlayer @jonsopel @maitlis Qatar and Scotland, have gas and oil. Can you spot any differences?","@Telegraph And climate activists are pushing for us to stop producing and selling oil/gas.
Think about it for a second.
What do you think the outcome would be if Russia, Iran and China have control over the energy supply of Western countries?

I mean, really take the time to think about it",https://t.co/HQZobLtttC  I bet a lot of minorities working in the oil industry would disagree that the oil industry is racist since they are working for them and have good paying jobs and these high gas prices hurt the poor the most and Joe Biden caused this because he blocks,"@mr_seans oil, gas , electric?

i forgot solar. forgive me, i have sinned"
149,"@g_hibby I knew it wasn't going to go our way, but was still raging when it came out, 1st thing to do now in my book is take them to court so all our resources are paid to Hollyrood, oil gas wind wave the lot, we will pass on a proportionate amount to WM, we've to stay, lets b comfy fkem",@azamatistan Does Kazakhstan have oil and gas? https://t.co/IRbx5PmjDZ,"@SenTedCruz Uh, we produce more oil and gas now than under Trump.","@IuliiaMendel -
...and the NATO Supremacists said, ""Let us make the SLAVes (Ukrainians and Russians, of a single root) fight each other like gladiators, so that we may control, once again, the price of gas and oil."" ⛽ ⛽ ⛽ 
-
https://t.co/VhHWgjeuh2",@JessicaBanner13 @POTUS Meanwhile oil and gas and coal are destroying the whole planet.,"Usa Oil / Gas /service / Midstream budgets
#oott https://t.co/VCjQP2BnLG https://t.co/9BRAt58O7x"
150,"(4 of 4)
Real Estate: -0.12%; 2 of 5 Up
Oil&amp;Gas: -1.69%; 9 of 80 Up (&gt;=4%: $FLNG)",@saltybeach4 @SVanBL @MDivewench @draiochta14 @neal_katyal @GOP I just want to know who is big Guy? Lol. The inflation started when gas price up after Jan 2020. It’s Biden responsibility when he changed oil policy.,"@GOPLeader Im glad you guys are going to fix inflation, go after the oil companies for gas prices, fix the climate, fix education, balance out budget and.... Oh wait, thats right you just want Hunters laptop.....",@ProjectLincoln Trump had cheap gas oil less unemployment more jobs and no wars,"@WR4NYGov @thunderf00t Warren, don't attack his competence, capability, or caracter.
Go after his lies, like the thermal expansion being an issue when we already have cross country pipes that move preasurized oil and gas. Or his claim patents are being stolen, durring competition. They get MIT licenses","Sen. Bill Cassidy: US can create oil and gas jobs here, but Biden chooses not to https://t.co/ZvqInAdNSg #breakingnews"
151,i said it on the first day i will say it agian #ZELENSKY #PUTIN #RUSSIA #OIL #GAS #COAL #POLAND #EUROPE #GOLD #SILVER #UN #UKRAINE ITS TIME FOR #EUROPE AND #AMERICA TO BIT THE BULLET - OH AND THE REST OF THE WORLD INCLUDING #CHINA 0 OR WE CUT THEM OFF - STOP PUTIN NOW ! https://t.co/zh8Pzt97MP,Of which she has nothing to do with since she has been on the job for a month. I guess that’s what happens though when you rely on an oil and gas industry that is gouging it’s customers while withholding federal funding from the healthcare system.  https://t.co/bA9peh3Fhi,@madampiipi Ukraine has Oil Gas and Lithium. Perhaps the real reason for Putins greed.,"@GeraldKutney 😳😳Canada, Jerry. Even Canada knows it's a hoax, Jerry.

""Canada won’t agree to add language calling for the phase-out of all fossil fuels – including oil and gas...at COP27...""
https://t.co/5QBTwrRsJf

@DawnTJ90 
@KeillerDon","China, India squeeze big oil discounts out of Russia, hitting Putin's war chest - Economic Times

https://t.co/pEIS5FNQya

#NewsIndia https://t.co/gv9u5unHuN","~7,000 jobs list at Twitter = global meltdown &amp; @elonmusk is the devil 

~150,000 jobs lost in the oil &amp; gas industry in the USA = 🦗🦗🦗

FYI I am pro climate &amp; renewables but the above just stinks of Twitter righteousness"
152,"""there's just way too much methane going into our atmosphere"" environmental activist Sharon Wilson tells @MilesOBrien as evidence grows that despite oil &amp; gas industry reports on emissions..""methane is coming up everywhere"" as she inspects oil production site in Texas @NewsHour","@Thom_Hartmann Yeah it shouldn't be costing money. Neither should gas. Oil is abundant, it's been a scam since the start. It should cost a bit for the ppl who do the work 2 make it available 4 us but it's beyond ridiculous.  Extortion is the word I think? Slavery didn't end. Watch #zeitgeist",@RepTenney You might ask your buddies in Big Oil/Gas about their obscene record profits and how they justify them.,"@PLAOpsOSINT 11 day is only for gas,oil is 120 days and food is 90-180 days. https://t.co/woKd2x9idj",https://t.co/fRSDxeeoAA,@travisakers Remember when self service gas stations came to be. At one time you pulled up and had your windshield cleaned and your oil checked while the attendant filled your tank.
153,"Stocks I watch up at least 4% on &gt;=1.5xAvgVol for the day:
$MANU: 27.3xAV; +25.8% (Leisure)
$QURE: 5.2xAV; +14.6% (Bio/Pharm)
$MRTX: 3xAV; +11.3% (Bio/Pharm)
$SCPH: 2.5xAV; +7.3% (Bio/Pharm)
$FLNG: 2xAV; +6.7% (Oil&amp;Gas)
(1 of 2)",Oil And Gas Executives Say It's Not Joe Biden Holding Back Domestic Production  https://t.co/HN5J23YjIp,"@SenateGOP Two things Republicans hope you forgot or are too ignorant to see:
1) They UNANIMOUSLY voted to continue to allow oil companies to keep choking you with high gas prices
2) They cant show you ONE instance in which oil companies were FORCED to stop producing
https://t.co/FvFQ5RT8iO","@Redneckscouser @burnshorts123 @GrayTendo @StonkDoc @bent_krockman @Tiggersdad2 @JasonLu92687297 @stockboynick @_jeff_irons Here's a challenge for anyone confident enough in their oil &amp; gas valuation abilities to say what $MMTLP's assets are worth.

Read this presentation (snippet below) and weigh in on how much you think that company is worth.  Doubt many will dare.

https://t.co/PJBgQzD6tO

$MMTLP https://t.co/v1PXQ4APCm",does anyone know of a program for reduced costs (or grant funds) to replace oil burners? here in New England most of us use fuel oil to heat our homes. it's expensive but switching to electric or natural gas is financially out of the question for most people.,@JoeNBC Democrats said when gas prices were high that the president didn’t control gas prices… now  Biden is oil from Venezuela in stead of using our oil…now tell me how that helps Americans
154,@steven_schnegg @DeathMetalV @WHCOS Are you aware of the billions of dollars Chevron and other oil/gas producers are making….all due to their greed. This isn’t a President Biden issue….it’s the greedy companies.,Imagine you working for Paria and don’t know what is the definition of flashpoint. You working in the oil and gas industry and collecting salaries close to and past the PM. I know my fellow classmates watching this BS and studying why you in that seat and we have not been able to,"@adi78 @Maciek72506648 @piotrarak @___wj___ @jzettelmeyer @GuntramWolff Whereas Germans now split in our faces proposing russian gas and oil price ""cap"" at 2x market price level 🥹 I think it's some kind of weird german humiliation method.","Because Georgia, like the rest of the country, can use a break, from, GAS, HEATING OIL, CRIME, IMMEGRATION, TRILLIONS OF DOLLARS UNACCOUNTED FOR, CORRUPTION, FENTANYL https://t.co/5umNCoc4YA",@SenateGOP Do you mean American oil and gas companies?,"@WinterIsOnTwt @MarkThorndyke @MatthewNewbery1 @Ghiaguy66 @JustStop_Oil @RishiSunak Limited supplies?
""estimated that the northern Bowland Shale gas formation in England alone holds as much as 37.6 Tcm of shale gas. Just 10% of that volume could meet UK gas needs for 50 years""
https://t.co/Ux5icmFMPO"
155,"@Tim_Bousquet How do u figure that out.  You do realize that its not just gas, propane, oil and electricity.  It's on the fertilizer that farmers use to grow their crops so they charge more.  The trucks that deliver goods so they charge more.  Also carbon tax has GST applied to it.","@pevchikh Also, when we pushed for foreign companies to withdraw and our governments to stop to oil + gas purchases, the Russian opposition became a hinder since you/they promote that sanctions do not work. Apart from the personalized ones. What other global sanctions do you compare with?&gt;","@Black_Puma_68 @BizarroSmash @GrumpybaldProf @PeterSweden7 ""Electrical power is everywhere present in unlimited quantities, and can drive the worlds machinery without need for oil, coal and gas, or any other of the common fuels "" - Nikola Tesla","@vtchakarova After the war took place, german government wanted to put all the blame on India for oil purchases so that they can hide ,what they have bought from russia but you know #RealPolitik hit them hard.
Till now, they are still buying russian oil and gas from other countries.",@psbono21 @nypost there is a big difference. Biden shut down an investigation with U.S. support dollars and had a prosecutor fired. Hunter had 0 ZERO experience in the oil and gas industry yet got paid millions to do what? Kushner firm had a 2 billion dollar investment from the Saudis. Nice try!!,@TypeACommentary @CarignanAbreu @JLeon223 @MasterStare @FoxNews Biden literally campaigned on destroying the oil and gas industry and replacing it with green energy.  No company in their right mind is going to invest hundreds of millions of dollars under a president who is actively working to shutter the industry.
